symbol,name,price,marketCap,volume,industry
NVDA,NVIDIA Corporation Common Stock,197.58,4781436000000.0,146149732,Technology
GOOGL,Alphabet Inc. Class A Common Stock,361.21,4376420360000.0,26736562,Technology
GOOG,Alphabet Inc. Class C Capital Stock,357.89,4336195240000.0,19546789,Technology
AAPL,Apple Inc. Common Stock,294.38,4323663859280.0,50164471,Technology
MSFT,Microsoft Corporation Common Stock,384.28,2854598888053.0,48066031,Technology
AMZN,Amazon.com Inc. Common Stock,241.7,2599993350681.0,53829967,Consumer Discretionary
AVGO,Broadcom Inc. Common Stock,369.34,1757164670329.0,23712968,Technology
TSLA,Tesla Inc. Common Stock,425.3,1597309362336.0,40128884,Industrials
META,Meta Platforms Inc. Class A Common Stock,612.91,1555825027255.0,45537141,Technology
MU,Micron Technology Inc. Common Stock,1032.28,1165849961914.0,51329281,Technology
LLY,Eli Lilly and Company Common Stock,1191.74,1122310903186.0,2720666,Health Care
BRK/B,Berkshire Hathaway Inc.,499.74,1102582044544.0,4101309,
JPM,JP Morgan Chase & Co. Common Stock,334.07,895144379411.0,15210228,Finance
AMD,Advanced Micro Devices Inc. Common Stock,540.88,881959273622.0,28327547,Technology
WMT,Walmart Inc. Common Stock,108.82,865998173647.0,40391427,Consumer Discretionary
V,Visa Inc.,351.08,665109810344.0,13025969,Consumer Discretionary
INTC,Intel Corporation Common Stock,127.02,638402520000.0,113107616,Technology
JNJ,Johnson & Johnson Common Stock,253.98,611384966295.0,6516516,Health Care
XOM,Exxon Mobil Corporation Common Stock,136.28,564873399237.0,12433382,Energy
AMAT,Applied Materials Inc. Common Stock,650.91,516796132581.0,16089232,Technology
LRCX,Lam Research Corporation Common Stock,391.26,489298409460.0,18699348,Technology
MA,Mastercard Incorporated Common Stock,522.44,461619549206.0,4413214,Consumer Discretionary
CSCO,Cisco Systems Inc. Common Stock (DE),117.01,461187270152.0,32015968,Telecommunications
CAT,Caterpillar Inc. Common Stock,991.41,456680153947.0,3914174,Industrials
ABBV,AbbVie Inc. Common Stock,251.06,443571005640.0,6987991,Health Care
BAC,Bank of America Corporation Common Stock,58.36,414157030392.0,35288369,Finance
ORCL,Oracle Corporation Common Stock,142.5,410467117500.0,45964066,Technology
COST,Costco Wholesale Corporation Common Stock,924.67,410071545695.0,2909945,Consumer Discretionary
GE,GE Aerospace Common Stock,374.94,391188862891.0,3951408,Technology
UNH,UnitedHealth Group Incorporated Common Stock (DE),426.54,387359914082.0,4985871,Health Care
KO,Coca-Cola Company (The) Common Stock,81.29,349884587371.0,21734842,Consumer Staples
HD,Home Depot Inc. (The) Common Stock,350.84,349828416713.0,4041335,Consumer Discretionary
KLAC,KLA Corporation Common Stock,266.19,347717398150.0,24163615,Technology
PG,Procter & Gamble Company (The) Common Stock,147.43,343305347327.0,9571741,Consumer Discretionary
MS,Morgan Stanley Common Stock,211.86,334163561330.0,4689989,Finance
CVX,Chevron Corporation Common Stock,165.69,329987828215.0,9175531,Energy
NFLX,Netflix Inc. Common Stock,74.19,312399142792.0,43842147,Consumer Discretionary
MRK,Merck & Company Inc. Common Stock (new),125.37,309641886909.0,10761471,Health Care
GEV,GE Vernova Inc. Common Stock,1134.35,304822526328.0,2359604,
PLTR,Palantir Technologies Inc. Class A Common Stock,125.73,301414034868.0,58561641,Technology
SNDK,Sandisk Corporation Common Stock,2032.22,300950968003.0,11056697,Technology
GS,Goldman Sachs Group Inc. (The) Common Stock,1019.61,300792516526.0,1735029,Finance
PANW,Palo Alto Networks Inc. Common Stock,352.04,286912600000.0,7265481,Technology
PM,Philip Morris International Inc Common Stock,177.69,276940321346.0,5910581,Health Care
DELL,Dell Technologies Inc. Class C Common Stock ,425.25,275607923173.0,6027606,Technology
TXN,Texas Instruments Incorporated Common Stock,298.41,271580789762.0,8737137,Technology
IBM,International Business Machines Corporation Common Stock,286.25,269042161400.0,6905823,Technology
WFC,Wells Fargo & Company Common Stock,85.94,262992685114.0,14670618,Finance
